Géographie;Système de classification des industries de l'Amérique du Nord (SCIAN);Ajustements;Période de référence;Ventes totles du commerce de détil
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;juil-24;1 276 875
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;août-24;1 275 370
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;sept-24;1 326 829
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;oct-24;1 289 195
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;nov-24;1 291 609
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;déc-24;1 359 829
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;janv-25;1 315 869
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;févr-25;1 295 138
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;févr-22;4 441 190
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;mars-22;4 541 788
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;avr-22;4 301 124
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;mai-22;4 214 978
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;juin-22;4 255 427
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;juil-22;4 212 967
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;août-22;4 227 280B
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;sept-22;4 127 502
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;oct-22;4 136 117
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;nov-22;4 021 482
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;déc-22;3 860 758
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;janv-23;4 049 143
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;févr-23;3 885 972
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;mars-23;3 840 693
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;avr-23;3 860 733
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;mai-23;3 883 078
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;juin-23;3 863 966
